# same-irrep resonance integrals <phi_left | F(k) | phi_right>
# of the converged crystal Fock operator; energies on the aligned scale
# mix = sin^2(theta) with tan(2 theta) = 2|H| / dE (two-level mixing fraction)
# columns: irrep  left_level  E_left(eV)  right_level  E_right(eV)  |H|(eV)  dE(eV)  mix(%)

# k point A (1/2,1/2,1/2)
GM1    Ba 5d GM1             11.848  O 2s GM1#2            -8.335     0.175   20.184    0.01
GM2    Ba 5d GM2             11.705  O 3s GM2             130.626     1.023  118.921    0.01
GM1    Ba 7s GM1            142.688  O 2s GM1#1            -9.254     1.245  151.943    0.01
GM1    Ti 3p GM1            -24.992  O 3d GM1              61.477     0.697   86.469    0.01
GM5    Ti 3p GM5            -24.975  O 3d GM5#1            61.426     0.676   86.401    0.01
GM5    Ti 4p GM5             15.842  O 3d GM5#1            61.426     0.341   45.584    0.01
GM1    Ti 3s GM1            -50.286  O 2s GM1#2            -8.335     0.284   41.951    0.00
GM5    Ti 4d GM5             30.470  O 2p GM5#1             5.314     0.158   25.156    0.00
GM1    Ti 3d GM1              7.866  O 2s GM1#1            -9.254     0.107   17.121    0.00
GM5    Ti 3d GM5              9.310  O 3d GM5#2            63.262     0.333   53.952    0.00
GM2    Ba 5d GM2             11.705  O 3d GM2#3            62.313     0.305   50.607    0.00
GM5    Ti 4p GM5             15.842  O 3p GM5              38.315     0.133   22.473    0.00
GM2    Ba 5d GM2             11.705  O 2p GM2               6.721     0.028    4.984    0.00
GM5    Ti 4d GM5             30.470  O 2p GM5#3             7.200     0.129   23.270    0.00
GM1    Ba 5d GM1             11.848  O 3s GM1#2           190.330     0.916  178.482    0.00
GM5    Ti 3d GM5              9.310  O 3d GM5#1            61.426     0.189   52.115    0.00
GM5    Ti 4p GM5             15.842  O 2p GM5#2             6.729     0.030    9.112    0.00
GM3    Ti 3d GM3              9.434  O 3d GM3#1            64.245     0.179   54.810    0.00
GM1    Ti 4s GM1#1            5.600  O 3d GM1              61.477     0.160   55.877    0.00
GM1    Ba 5d GM1             11.848  O 2s GM1#1            -9.254     0.055   21.103    0.00
GM1    Ba 5s GM1            -18.411  O 3d GM1              61.477     0.164   79.888    0.00
GM1    Ti 4p GM1             15.060  O 2s GM1#1            -9.254     0.047   24.314    0.00
GM1    Ba 5s GM1            -18.411  O 2p GM1#2             7.169     0.047   25.580    0.00
GM5    Ti 3p GM5            -24.975  O 3d GM5#2            63.262     0.163   88.237    0.00
GM1    Ba 5s GM1            -18.411  O 3s GM1#1           126.196     0.251  144.607    0.00
GM1    Ba 5s GM1            -18.411  O 3s GM1#2           190.330     0.339  208.741    0.00
GM1    Ti 4s GM1#1            5.600  O 3s GM1#1           126.196     0.187  120.597    0.00
GM5    Ti 3p GM5            -24.975  O 2p GM5#2             6.729     0.044   31.704    0.00
GM1    Ti 3d GM1              7.866  O 3s GM1#2           190.330     0.168  182.464    0.00
GM1    Ti 3s GM1            -50.286  O 3s GM1#2           190.330     0.190  240.616    0.00
GM5    Ba 5p GM5             -3.409  O 3p GM5              38.315     0.031   41.724    0.00
GM1    Ba 5p GM1             -3.518  O 3s GM1#1           126.196     0.094  129.715    0.00
GM5    Ba 5p GM5             -3.409  O 3d GM5#2            63.262     0.042   66.671    0.00
GM1    Ba 7s GM1            142.688  O 2s GM1#2            -8.335     0.089  151.024    0.00
GM1    Ba 5p GM1             -3.518  O 3d GM1              61.477     0.035   64.995    0.00
GM5    Ba 5p GM5             -3.409  O 3d GM5#3            80.019     0.039   83.427    0.00
GM1    Ti 3p GM1            -24.992  O 3s GM1#2           190.330     0.088  215.322    0.00
GM1    Ba 5p GM1             -3.518  O 3s GM1#2           190.330     0.066  193.849    0.00
GM1    Ti 4p GM1             15.060  O 3s GM1#2           190.330     0.058  175.270    0.00
GM5    Ba 5p GM5             -3.409  O 3d GM5#1            61.426     0.014   64.835    0.00
GM5    Ti 4p GM5             15.842  O 3d GM5#2            63.262     0.001   47.421    0.00

# k point M (1/2,1/2,0)
M1     Ba 5d M1               7.086  O 2p M1#2              6.236     0.801    0.850   26.55
M5     Ti 4d M5              27.648  O 3p M5#2             54.975    20.128   27.326   21.92
M1     Ba 5d M1               7.086  O 2p M1#1              5.083     1.284    2.003   19.25
M2     Ti 3d M2               9.896  O 2p M2                7.148     1.383    2.748   14.76
M3     Ba 7s M3              45.314  O 3d M3#1             64.222     8.331   18.908   12.49
M5     Ba 5p M5              -4.015  O 2s M5               -8.618     1.773    4.603   10.39
M1     Ba 5d M1               7.086  O 2s M1               -8.593     5.743   15.679    9.67
M2     Ti 4d M2              32.292  O 3d M2#1             56.374     8.004   24.083    8.36
M3     Ti 3d M3               8.076  O 2p M3                5.189     0.924    2.887    7.89
M5     Ti 4p M5              11.373  O 2p M5#1              6.215     1.497    5.158    6.76
M3     Ba 5d M3              12.519  O 2p M3                5.189     2.041    7.329    6.32
M3     Ba 6p M3              29.128  O 3d M3#2             76.453    12.073   47.325    5.46
M5     Ti 4p M5              11.373  O 2s M5               -8.618     5.013   19.991    5.31
M1     Ti 4p M1              17.444  O 2p M1#2              6.236     2.733   11.209    5.06
M5     Ti 3p M5             -24.984  O 2s M5               -8.618     3.799   16.366    4.65
M1     Ti 3s M1             -50.285  O 2p M1#1              5.083    12.742   55.368    4.58
M1     Ti 3d M1              10.186  O 2p M1#2              6.236     0.873    3.951    4.27
M2     Ti 4d M2              32.292  O 2p M2                7.148     5.292   25.143    3.92
M5     Ti 3d M5               8.657  O 2p M5#2              6.470     0.459    2.187    3.90
M2     Ti 4d M2              32.292  O 3d M2#2             59.581     5.592   27.290    3.73
M5     Ti 4d M5              27.648  O 3p M5#1             44.024     3.256   16.375    3.54
M1     Ti 3p M1             -24.990  O 2p M1#2              6.236     5.839   31.226    3.17
M5     Ba 5d M5              13.974  O 2p M5#2              6.470     1.386    7.504    3.10
M2     Ti 4d M2              32.292  O 3p M2               92.297    10.822   60.006    2.97
M3     Ti 4d M3              18.979  O 2p M3                5.189     2.455   13.790    2.90
M5     Ti 4d M5              27.648  O 3d M5#1             58.247     5.377   30.598    2.83
M3     Ti 4d M3              18.979  O 3d M3#1             64.222     7.489   45.243    2.53
M1     Ti 4s M1              18.477  O 2p M1#1              5.083     2.160   13.394    2.41
M5     Ti 4d M5              27.648  O 2p M5#2              6.470     3.410   21.178    2.41
